Produto,Categoria do Produto,Preço,Frete,Data da Compra,Vendedor,Local da compra,Avaliação da compra,Tipo de pagamento,Quantidade de parcelas,lat,lon
17,Jogo de copos,utilidades domesticas,37.44,2.8819825404,2022-01-01T00:00:00.000,Thiago Silva,RJ,4,cartao_credito,4,-22.25,-42.66
18,Blocos de montar,brinquedos,36.84,0,2022-01-01T00:00:00.000,Pedro Gomes,SP,4,boleto,1,-22.19,-48.79
19,Iniciando em programação,livros,63.25,3.894137208,2022-01-01T00:00:00.000,Juliana Costa,RJ,5,cartao_credito,4,-22.25,-42.66
20,Fogão,eletrodomesticos,607.49,33.2354300998,2022-01-01T00:00:00.000,Juliana Costa,MG,5,cartao_credito,3,-18.1,-44.38
21,Bola de vôlei,esporte e lazer,75.11,1.5838206052,2022-01-01T00:00:00.000,Isabella Pereira,SP,5,cartao_credito,1,-22.19,-48.79
22,Bateria,instrumentos musicais,1031.24,55.199204426,2023-01-01T00:00:00.000,Bruno Rodrigues,BA,5,boleto,1,-13.29,-41.71
23,Boneca bebê,brinquedos,50.72,3.2317919389,2023-01-01T00:00:00.000,Isabella Pereira,SP,4,boleto,1,-22.19,-48.79
24,Sofá retrátil,moveis,888.09,51.7681594786,2023-01-01T00:00:00.000,Rafael Costa,SP,4,cartao_credito,20,-22.19,-48.79
25,Pandeiro,instrumentos musicais,47.05,2.7883968633,2023-01-01T00:00:00.000,Bianca Santos,RS,5,cartao_credito,6,-30.17,-53.5
26,Bicicleta,esporte e lazer,836.66,45.438043164,2023-01-01T00:00:00.000,Larissa Alves,SP,5,cartao_credito,1,-22.19,-48.79
27,Xadrez de madeira,brinquedos,44.82,3.2749453383,2023-01-01T00:00:00.000,Bianca Santos,PR,5,cupom,1,-24.89,-51.55
28,Lavadora de roupas,eletrodomesticos,1857.13,99.169711412,2020-02-01T00:00:00.000,Bruno Rodrigues,RJ,5,boleto,1,-22.25,-42.66
29,Mochila,esporte e lazer,123.53,4.1620399383,2020-02-01T00:00:00.000,Pedro Gomes,RJ,5,cartao_credito,3,-22.25,-42.66
30,Headset,eletronicos,309.35,16.755082759,2020-02-01T00:00:00.000,Mariana Ferreira,RS,5,cartao_credito,3,-30.17,-53.5
31,Micro-ondas,eletrodomesticos,1035.84,55.6864683002,2021-02-01T00:00:00.000,Felipe Santos,SP,2,cartao_credito,6,-22.19,-48.79
32,Cama king,moveis,660.46,35.4506339784,2021-02-01T00:00:00.000,Juliana Costa,RJ,5,cartao_credito,3,-22.25,-42.66
33,Ciência de dados com python,livros,86.13,5.2731755368,2021-02-01T00:00:00.000,Camila Ribeiro,RJ,4,cartao_credito,3,-22.25,-42.66
34,Guitarra,instrumentos musicais,957.84,51.5283634201,2021-02-01T00:00:00.000,Isabella Pereira,SP,5,cartao_credito,1,-22.19,-48.79
35,Ciência de dados com python,livros,72.75,1.458157705,2021-02-01T00:00:00.000,Beatriz Moraes,PR,4,cartao_credito,2,-24.89,-51.55
36,Cama box,moveis,819.22,43.9041263642,2021-02-01T00:00:00.000,Felipe Santos,SP,5,cartao_credito,4,-22.19,-48.79
37,Headset,eletronicos,340.22,15.7001305473,2021-02-01T00:00:00.000,Thiago Silva,SP,2,cupom,1,-22.19,-48.79
38,Iniciando em programação,livros,61.73,0,2021-02-01T00:00:00.000,Beatriz Moraes,SP,4,cartao_credito,1,-22.19,-48.79
39,Jogo de panelas,utilidades domesticas,126.59,4.3249757326,2021-02-01T00:00:00.000,Juliana Costa,RS,1,cartao_credito,3,-30.17,-53.5
40,Guitarra,instrumentos musicais,1158.33,62.2086923009,2022-02-01T00:00:00.000,Bruno Rodrigues,SP,4,cartao_credito,2,-22.19,-48.79
41,Dashboards com Power BI,livros,57.63,9.3105595123,2022-02-01T00:00:00.000,Bianca Santos,SP,3,cartao_credito,1,-22.19,-48.79
42,Copo térmico,esporte e lazer,50.31,0,2022-02-01T00:00:00.000,Beatriz Moraes,RJ,1,cartao_credito,2,-22.25,-42.66
43,Corda de pular,esporte e lazer,21.88,0,2022-02-01T00:00:00.000,Larissa Alves,SC,5,cartao_credito,5,-27.45,-50.95
44,Mesa de jantar,moveis,264.63,14.6218559113,2022-02-01T00:00:00.000,Thiago Silva,MG,5,cartao_credito,4,-18.1,-44.38
45,Ciência de dados com python,livros,79.28,1.8058605601,2022-02-01T00:00:00.000,Lucas Oliveira,SP,5,cartao_credito,1,-22.19,-48.79
46,Bicicleta,esporte e lazer,520.28,27.9864706964,2022-02-01T00:00:00.000,Rafael Costa,SP,5,cartao_credito,5,-22.19,-48.79
47,Mochila,esporte e lazer,147.99,5.4644613527,2022-02-01T00:00:00.000,João Souza,SP,4,boleto,1,-22.19,-48.79
48,Poltrona,moveis,251.37,10.969135344,2022-02-01T00:00:00.000,Isabella Pereira,AL,4,boleto,1,-9.62,-36.82
49,Dashboards com Power BI,livros,41.76,2.7546988942,2022-02-01T00:00:00.000,Juliana Costa,SP,5,cartao_credito,1,-22.19,-48.79
50,Ciência de dados com python,livros,82.15,1.958679426,2023-02-01T00:00:00.000,Bianca Santos,SP,5,cartao_credito,2,-22.19,-48.79
51,Smartwatch,eletronicos,184.84,17.9198218199,2023-02-01T00:00:00.000,Lucas Oliveira,BA,4,cartao_credito,3,-13.29,-41.71
52,Bola de vôlei,esporte e lazer,55.1,3.2170351457,2023-02-01T00:00:00.000,Bianca Santos,SP,1,cartao_credito,4,-22.19,-48.79
53,Cômoda,moveis,417.02,19.7894995019,2023-02-01T00:00:00.000,Felipe Santos,PR,5,cartao_credito,2,-24.89,-51.55
54,Fone de ouvido,eletronicos,108.12,6.6969125635,2023-02-01T00:00:00.000,Beatriz Moraes,PR,4,cartao_credito,5,-24.89,-51.55
55,Lava louças,eletrodomesticos,1702.95,88.2614034053,2023-02-01T00:00:00.000,João Souza,PR,2,cartao_credito,10,-24.89,-51.55
56,TV Led UHD 4K,eletronicos,2404.01,125.5907393338,2023-02-01T00:00:00.000,Pedro Gomes,MG,5,cartao_credito,2,-18.1,-44.38
57,Modelagem preditiva,livros,70.49,1.337819504,2023-02-01T00:00:00.000,Isabella Pereira,PE,4,cupom,1,-8.38,-37.86
58,Dashboards com Power BI,livros,40.98,0,2023-02-01T00:00:00.000,Beatriz Moraes,RJ,5,cartao_credito,1,-22.25,-42.66
59,Assistente virtual,eletronicos,214.5,9.0059187638,2023-02-01T00:00:00.000,Thiago Silva,BA,5,cartao_credito,10,-13.29,-41.71
60,Jogo de panelas,utilidades domesticas,229.47,9.803026228,2020-03-01T00:00:00.000,Lucas Oliveira,RJ,5,cartao_credito,9,-22.25,-42.66
61,Cama box,moveis,467.81,25.4405796638,2020-03-01T00:00:00.000,Beatriz Moraes,MG,5,cartao_credito,3,-18.1,-44.38
62,Bola de basquete,esporte e lazer,46.18,10.2609556896,2020-03-01T00:00:00.000,Thiago Silva,SP,5,cartao_credito,1,-22.19,-48.79
63,Lava louças,eletrodomesticos,1451.86,74.8916162854,2020-03-01T00:00:00.000,Rafael Costa,MG,3,cartao_credito,10,-18.1,-44.38
64,Cadeira de escritório,moveis,577.67,28.3436287018,2020-03-01T00:00:00.000,Felipe Santos,BA,5,cartao_credito,1,-13.29,-41.71
65,Cubo mágico 8x8,brinquedos,21.43,1.672187555,2020-03-01T00:00:00.000,Larissa Alves,SP,1,boleto,1,-22.19,-48.79
66,Bola de basquete,esporte e lazer,82.3,1.9666664748,2020-03-01T00:00:00.000,Bruno Rodrigues,SP,5,cartao_credito,1,-22.19,-48.79
67,Smart TV,eletronicos,1917.3,99.674896054,2020-03-01T00:00:00.000,Pedro Gomes,SP,4,cartao_credito,1,-22.19,-48.79
68,Geladeira,eletrodomesticos,2774,147.9902805969,2021-03-01T00:00:00.000,Bruno Rodrigues,RJ,5,cartao_credito,1,-22.25,-42.66
69,Lavadora de roupas,eletrodomesticos,2034.43,108.8583816384,2021-03-01T00:00:00.000,Thiago Silva,RS,5,cartao_credito,2,-30.17,-53.5
70,Celular ABXY,eletronicos,1522.65,87.3184671407,2021-03-01T00:00:00.000,Juliana Costa,SP,1,cartao_credito,4,-22.19,-48.79
71,Xadrez de madeira,brinquedos,28.76,0,2021-03-01T00:00:00.000,Lucas Oliveira,SP,4,cartao_credito,5,-22.19,-48.79
72,Fogão,eletrodomesticos,1378.02,74.7745347061,2021-03-01T00:00:00.000,Beatriz Moraes,MS,5,boleto,1,-20.51,-54.54
73,Cubo mágico 8x8,brinquedos,14.52,3.9369626407,2021-03-01T00:00:00.000,Thiago Silva,DF,5,cartao_credito,5,-15.83,-47.86
74,Micro-ondas,eletrodomesticos,930.94,47.1541934231,2021-03-01T00:00:00.000,Thiago Silva,PE,5,cartao_credito,10,-8.38,-37.86
75,Corda de pular,esporte e lazer,32.96,11.3359643772,2022-03-01T00:00:00.000,Juliana Costa,SP,1,cartao_credito,1,-22.19,-48.79
76,Celular ABXY,eletronicos,1100.5,59.2853264023,2022-03-01T00:00:00.000,Beatriz Moraes,SP,5,boleto,1,-22.19,-48.79
77,Bola de vôlei,esporte e lazer,54.42,3.1808271914,2022-03-01T00:00:00.000,Lucas Oliveira,SP,5,cartao_credito,1,-22.19,-48.79
78,Guarda roupas,moveis,663.54,36.0185209544,2022-03-01T00:00:00.000,Juliana Costa,RS,3,cartao_credito,10,-30.17,-53.5
79,Lavadora de roupas,eletrodomesticos,2060.2,107.2838911531,2022-03-01T00:00:00.000,Mariana Ferreira,PB,4,cartao_credito,5,-7.28,-36.72
80,Carrinho controle remoto,brinquedos,116,3.7610900916,2022-03-01T00:00:00.000,Thiago Silva,SP,5,boleto,1,-22.19,-48.79
81,Sofá retrátil,moveis,890.4,44.9955603837,2022-03-01T00:00:00.000,Rafael Costa,RS,4,boleto,1,-30.17,-53.5
82,Mesa de jantar,moveis,476.88,22.9768644188,2022-03-01T00:00:00.000,João Souza,MG,4,cartao_credito,10,-18.1,-44.38
83,Ciência de dados com python,livros,50.51,10.2450858314,2022-03-01T00:00:00.000,Thiago Silva,MG,1,cartao_credito,6,-18.1,-44.38
84,Headset,eletronicos,219.88,11.9967253244,2022-03-01T00:00:00.000,Mariana Ferreira,CE,5,cartao_credito,4,-5.2,-39.53
85,Pandeiro,instrumentos musicais,109.52,3.416049586,2022-03-01T00:00:00.000,Pedro Gomes,PE,5,cartao_credito,1,-8.38,-37.86
86,Lavadora de roupas,eletrodomesticos,1732.36,89.8273974282,2022-03-01T00:00:00.000,Bruno Rodrigues,RJ,5,cartao_credito,2,-22.25,-42.66
87,Modelagem preditiva,livros,71.64,1.3990535443,2023-03-01T00:00:00.000,Mariana Ferreira,SP,4,cartao_credito,2,-22.19,-48.79
88,Bateria,instrumentos musicais,535.83,26.1157745734,2023-03-01T00:00:00.000,Felipe Santos,MG,5,cartao_credito,8,-18.1,-44.38
89,Dashboards com Power BI,livros,43.35,3.2481049178,2023-03-01T00:00:00.000,Rafael Costa,BA,5,cartao_credito,2,-13.29,-41.71
90,Dinossauro Rex,brinquedos,28.71,2.2157332793,2023-03-01T00:00:00.000,Bruno Rodrigues,RJ,5,cartao_credito,7,-22.25,-42.66
91,Bicicleta,esporte e lazer,406.16,22.3138102573,2023-03-01T00:00:00.000,Bruno Rodrigues,PA,4,cartao_credito,6,-3.79,-52.48
92,Cama box,moveis,834.98,44.9912775682,2023-03-01T00:00:00.000,Mariana Ferreira,SP,1,cartao_credito,3,-22.19,-48.79
93,Iniciando em programação,livros,65.86,4.4466946987,2020-04-01T00:00:00.000,Rafael Costa,SP,5,cartao_credito,4,-22.19,-48.79
94,Assistente virtual,eletronicos,250.29,16.4910058494,2020-04-01T00:00:00.000,Rafael Costa,SP,4,cartao_credito,1,-22.19,-48.79
95,Panela de pressão,utilidades domesticas,83.2,2.0145887672,2020-04-01T00:00:00.000,Larissa Alves,MG,1,cartao_credito,2,-18.1,-44.38
96,Fogão,eletrodomesticos,1026.47,64.5137325897,2020-04-01T00:00:00.000,Lucas Oliveira,RJ,5,boleto,1,-22.25,-42.66
97,Assistente virtual,eletronicos,180.46,10.295964254,2021-04-01T00:00:00.000,Lucas Oliveira,PE,1,cartao_credito,4,-8.38,-37.86
98,Boneca bebê,brinquedos,67.88,4.1406707791,2021-04-01T00:00:00.000,Mariana Ferreira,MG,5,cartao_credito,2,-18.1,-44.38
99,Bicicleta,esporte e lazer,773.72,41.729366863,2021-04-01T00:00:00.000,João Souza,MG,5,cartao_credito,1,-18.1,-44.38
100,Lavadora de roupas,eletrodomesticos,1822.44,94.6238864312,2021-04-01T00:00:00.000,Thiago Silva,MS,3,cartao_credito,5,-20.51,-54.54
101,Pandeiro,instrumentos musicais,58.75,6.292077079,2021-04-01T00:00:00.000,Juliana Costa,SP,3,cupom,1,-22.19,-48.79
102,Guitarra,instrumentos musicais,892.6,48.0545296884,2021-04-01T00:00:00.000,Mariana Ferreira,PR,4,boleto,1,-24.89,-51.55
103,Panela de pressão,utilidades domesticas,94.58,2.6205395316,2021-04-01T00:00:00.000,Juliana Costa,DF,5,cartao_credito,10,-15.83,-47.86
104,Mesa de centro,moveis,217.42,19.3750120217,2021-04-01T00:00:00.000,Bruno Rodrigues,SP,5,cartao_debito,1,-22.19,-48.79
105,Iniciando em programação,livros,83.18,5.1160969115,2021-04-01T00:00:00.000,Isabella Pereira,SP,3,cartao_credito,4,-22.19,-48.79
106,Boneca bebê,brinquedos,51.2,3.2573504949,2021-04-01T00:00:00.000,Rafael Costa,SP,5,cartao_credito,1,-22.19,-48.79
107,Dashboards com Power BI,livros,40.85,0,2021-04-01T00:00:00.000,Mariana Ferreira,SP,5,cartao_credito,1,-22.19,-48.79
108,Celular ABXY,eletronicos,1578.34,81.6262957825,2021-04-01T00:00:00.000,Bianca Santos,SP,4,cartao_credito,2,-22.19,-48.79
109,Guarda roupas,moveis,666.47,33.0719615556,2022-04-01T00:00:00.000,Rafael Costa,MA,5,boleto,1,-5.42,-45.44
110,Cômoda,moveis,331.48,15.2347518407,2022-04-01T00:00:00.000,Isabella Pereira,MG,5,cartao_credito,10,-18.1,-44.38
111,Impressora,eletronicos,363.8,20.0582676933,2022-04-01T00:00:00.000,Isabella Pereira,RJ,5,cartao_credito,5,-22.25,-42.66
112,Faqueiro,utilidades domesticas,76.93,4.9847062385,2022-04-01T00:00:00.000,Bianca Santos,SP,4,cartao_credito,3,-22.19,-48.79
113,Ciência de dados com python,livros,75.04,1.5800933158,2022-04-01T00:00:00.000,Bianca Santos,RO,2,cartao_credito,7,-10.83,-63.34
114,Micro-ondas,eletrodomesticos,677.31,33.6491589445,2022-04-01T00:00:00.000,Camila Ribeiro,SP,5,boleto,1,-22.19,-48.79
115,Panela de pressão,utilidades domesticas,73.64,4.4522129863,2020-05-01T00:00:00.000,Thiago Silva,PR,5,cartao_credito,7,-24.89,-51.55
116,Jogo de tabuleiro,brinquedos,231.34,9.9025981023,2020-05-01T00:00:00.000,Mariana Ferreira,PE,5,cartao_credito,1,-8.38,-37.86
117,Sofá retrátil,moveis,872.54,46.986395037,2020-05-01T00:00:00.000,Juliana Costa,PE,3,boleto,1,-8.38,-37.86
118,Corda de pular,esporte e lazer,20.28,8.1661520605,2020-05-01T00:00:00.000,Bruno Rodrigues,RJ,4,boleto,1,-22.25,-42.66
119,Headset,eletronicos,191.4,10.4802510037,2020-05-01T00:00:00.000,Bianca Santos,SP,1,cartao_credito,1,-22.19,-48.79
120,Micro-ondas,eletrodomesticos,409.25,31.6486244366,2020-05-01T00:00:00.000,Camila Ribeiro,BA,3,cartao_credito,1,-13.29,-41.71
121,Jogo de panelas,utilidades domesticas,268.49,14.8273892988,2021-05-01T00:00:00.000,Isabella Pereira,BA,5,cupom,1,-13.29,-41.71
122,Kit banquetas,moveis,394.53,21.533800584,2021-05-01T00:00:00.000,Felipe Santos,SC,5,cartao_credito,3,-27.45,-50.95
123,Celular Plus X42,eletronicos,2842.86,151.6568684382,2021-05-01T00:00:00.000,Bianca Santos,SP,4,cupom,1,-22.19,-48.79
124,Geladeira,eletrodomesticos,2405.84,129.5028576086,2021-05-01T00:00:00.000,Isabella Pereira,RJ,3,cartao_credito,2,-22.25,-42.66
125,Headset,eletronicos,98.2,2.8132936411,2021-05-01T00:00:00.000,Felipe Santos,RJ,5,cartao_credito,4,-22.25,-42.66
126,Ciência de dados com python,livros,58.61,4.0606540096,2021-05-01T00:00:00.000,Beatriz Moraes,PR,4,cartao_credito,1,-24.89,-51.55
127,Micro-ondas,eletrodomesticos,1034.13,55.5954159446,2021-05-01T00:00:00.000,Mariana Ferreira,SP,4,cartao_credito,4,-22.19,-48.79
128,Tablet ABXY,eletronicos,1642.22,85.0277136057,2022-05-01T00:00:00.000,Lucas Oliveira,SP,4,cartao_credito,6,-22.19,-48.79
129,Mesa de jantar,moveis,360,19.4520428834,2022-05-01T00:00:00.000,Thiago Silva,SP,2,boleto,1,-22.19,-48.79
130,Sofá retrátil,moveis,895.8,45.2830941384,2022-05-01T00:00:00.000,Pedro Gomes,SP,5,cartao_credito,9,-22.19,-48.79
131,Cadeira de escritório,moveis,619.44,33.5144209995,2022-05-01T00:00:00.000,Isabella Pereira,SP,5,boleto,1,-22.19,-48.79
132,Mesa de centro,moveis,282.19,12.6102076249,2022-05-01T00:00:00.000,Pedro Gomes,MG,5,cartao_credito,1,-18.1,-44.38
133,Tablet ABXY,eletronicos,1754.04,93.6804790483,2022-05-01T00:00:00.000,Rafael Costa,MG,5,cartao_credito,8,-18.1,-44.38
134,Mochila,esporte e lazer,132.49,4.639132983,2022-05-01T00:00:00.000,Felipe Santos,BA,5,boleto,1,-13.29,-41.71
135,Mesa de centro,moveis,277.62,15.0712066192,2022-05-01T00:00:00.000,Lucas Oliveira,SC,5,cartao_credito,1,-27.45,-50.95
136,Cadeira de escritório,moveis,403.02,21.9907070783,2022-05-01T00:00:00.000,Juliana Costa,MG,1,boleto,1,-18.1,-44.38
137,Corda de pular,esporte e lazer,24.57,8.8638588693,2020-06-01T00:00:00.000,Rafael Costa,RJ,5,boleto,1,-22.25,-42.66
138,Dashboards com Power BI,livros,46.58,0,2020-06-01T00:00:00.000,Rafael Costa,PR,1,cartao_credito,4,-24.89,-51.55
139,Bola de vôlei,esporte e lazer,57.53,0,2020-06-01T00:00:00.000,Larissa Alves,SP,4,boleto,1,-22.19,-48.79
140,Dashboards com Power BI,livros,42.09,0,2020-06-01T00:00:00.000,Felipe Santos,SP,5,cartao_credito,8,-22.19,-48.79
141,Faqueiro,utilidades domesticas,41.4,2.4932022643,2020-06-01T00:00:00.000,Isabella Pereira,MG,5,cartao_credito,1,-18.1,-44.38
142,Smartwatch,eletronicos,241.11,13.7267973188,2020-06-01T00:00:00.000,Felipe Santos,SP,3,cupom,1,-22.19,-48.79
143,Guarda roupas,moveis,607.71,32.8898337881,2021-06-01T00:00:00.000,Juliana Costa,SP,5,boleto,1,-22.19,-48.79
144,Boneca bebê,brinquedos,71.38,4.0895470723,2021-06-01T00:00:00.000,Camila Ribeiro,SP,3,cartao_credito,10,-22.19,-48.79
145,Dashboards com Power BI,livros,55.44,3.6390253647,2021-06-01T00:00:00.000,Camila Ribeiro,SP,3,cartao_credito,10,-22.19,-48.79
146,Guitarra,instrumentos musicais,818.58,41.1713614473,2021-06-01T00:00:00.000,Isabella Pereira,SP,5,cupom,1,-22.19,-48.79
147,Mesa de centro,moveis,214.27,11.9403374145,2021-06-01T00:00:00.000,Bruno Rodrigues,SP,4,boleto,1,-22.19,-48.79
148,TV Led UHD 4K,eletronicos,2366.39,123.58758751,2021-06-01T00:00:00.000,Isabella Pereira,MG,3,boleto,1,-18.1,-44.38
149,Boneca bebê,brinquedos,78.61,4.4688719181,2021-06-01T00:00:00.000,Lucas Oliveira,MG,5,cartao_debito,1,-18.1,-44.38
150,Cama king,moveis,897.42,48.0680411071,2021-06-01T00:00:00.000,Pedro Gomes,PB,3,cartao_credito,3,-7.28,-36.72
151,Cama king,moveis,695.31,34.6076047932,2021-06-01T00:00:00.000,João Souza,SP,1,boleto,1,-22.19,-48.79
152,Mesa de jantar,moveis,317.11,17.1682794138,2022-06-01T00:00:00.000,Felipe Santos,MG,5,boleto,1,-18.1,-44.38
153,Cubo mágico 8x8,brinquedos,20.95,1.6466289991,2022-06-01T00:00:00.000,Isabella Pereira,PA,4,cartao_credito,10,-3.79,-52.48
154,Xadrez de madeira,brinquedos,37.57,0,2022-06-01T00:00:00.000,Beatriz Moraes,SP,4,cartao_credito,8,-22.19,-48.79
155,Bola de basquete,esporte e lazer,70.87,1.3580533608,2022-06-01T00:00:00.000,Felipe Santos,SP,4,cartao_credito,1,-22.19,-48.79
156,Celular ABXY,eletronicos,1490.52,83.8457446259,2022-06-01T00:00:00.000,Felipe Santos,MG,5,cartao_credito,5,-18.1,-44.38
157,Bola de vôlei,esporte e lazer,79.7,4.5269111389,2022-06-01T00:00:00.000,Bianca Santos,MG,5,cartao_credito,6,-18.1,-44.38
158,Cômoda,moveis,430.76,30.4922543858,2022-06-01T00:00:00.000,Thiago Silva,RJ,5,cartao_credito,4,-22.25,-42.66
159,Copo térmico,esporte e lazer,72.03,5.2344961512,2022-06-01T00:00:00.000,Felipe Santos,CE,5,cartao_credito,8,-5.2,-39.53
160,Corda de pular,esporte e lazer,13.3,0,2022-06-01T00:00:00.000,Bruno Rodrigues,SP,5,cartao_credito,3,-22.19,-48.79
161,Sofá retrátil,moveis,860.42,43.3992155757,2022-06-01T00:00:00.000,Rafael Costa,MG,5,cartao_credito,3,-18.1,-44.38
162,Jogo de tabuleiro,brinquedos,183.79,10.0693904942,2022-06-01T00:00:00.000,Thiago Silva,SP,3,cartao_credito,1,-22.19,-48.79
163,Cubo mágico 8x8,brinquedos,12.83,2.0822742487,2022-06-01T00:00:00.000,Mariana Ferreira,SP,5,cartao_credito,7,-22.19,-48.79
164,Boneca bebê,brinquedos,77.75,11.9419632143,2022-06-01T00:00:00.000,Thiago Silva,SP,2,cartao_credito,3,-22.19,-48.79
165,Kit banquetas,moveis,435.98,23.7457279213,2020-07-01T00:00:00.000,Camila Ribeiro,SP,4,boleto,1,-22.19,-48.79
166,Assistente virtual,eletronicos,399.49,22.1600558478,2020-07-01T00:00:00.000,Camila Ribeiro,SP,5,cartao_credito,1,-22.19,-48.79
167,Fogão,eletrodomesticos,1111.91,68.7868059601,2020-07-01T00:00:00.000,Isabella Pereira,MG,2,cartao_credito,1,-18.1,-44.38
168,Bola de vôlei,esporte e lazer,68.2,1.2158838933,2020-07-01T00:00:00.000,Thiago Silva,PA,4,cupom,1,-3.79,-52.48
169,Dinossauro Rex,brinquedos,24.39,1.8297986502,2021-07-01T00:00:00.000,Bianca Santos,MG,4,cartao_credito,6,-18.1,-44.38
170,Dashboards com Power BI,livros,46.87,0,2021-07-01T00:00:00.000,Beatriz Moraes,RS,5,cartao_credito,8,-30.17,-53.5
171,Mesa de centro,moveis,238.81,13.2470185882,2021-07-01T00:00:00.000,Bruno Rodrigues,RJ,5,cartao_credito,1,-22.25,-42.66
172,Mesa de centro,moveis,238.33,20.488406616,2021-07-01T00:00:00.000,Thiago Silva,RJ,5,boleto,1,-22.25,-42.66
173,Jogo de tabuleiro,brinquedos,248.91,13.5424854904,2021-07-01T00:00:00.000,Rafael Costa,MT,1,cartao_credito,2,-12.64,-55.42
174,Dinossauro Rex,brinquedos,19.59,0,2021-07-01T00:00:00.000,Larissa Alves,SP,3,cartao_credito,1,-22.19,-48.79
175,Cama box,moveis,664.41,32.9622727529,2021-07-01T00:00:00.000,Beatriz Moraes,PR,5,cartao_credito,1,-24.89,-51.55
176,Geladeira,eletrodomesticos,3309.16,173.7872537772,2021-07-01T00:00:00.000,Mariana Ferreira,SC,1,cartao_credito,4,-27.45,-50.95
177,Smart TV,eletronicos,2179.74,116.3477233708,2021-07-01T00:00:00.000,Mariana Ferreira,DF,5,cartao_credito,1,-15.83,-47.86
178,Cadeira de escritório,moveis,496.37,27.3700570508,2021-07-01T00:00:00.000,Bianca Santos,SP,4,boleto,1,-22.19,-48.79
179,Iniciando em programação,livros,56.9,3.560858347,2021-07-01T00:00:00.000,Mariana Ferreira,SP,4,boleto,1,-22.19,-48.79
180,Corda de pular,esporte e lazer,26.63,1.9490719113,2022-07-01T00:00:00.000,Thiago Silva,SP,5,cartao_credito,2,-22.19,-48.79
181,Lava louças,eletrodomesticos,1567.6,84.0010885515,2022-07-01T00:00:00.000,Bruno Rodrigues,SP,1,cupom,1,-22.19,-48.79
182,Celular ABXY,eletronicos,1594.69,82.4968840951,2022-07-01T00:00:00.000,Isabella Pereira,RJ,5,cartao_credito,3,-22.25,-42.66
183,Guitarra,instrumentos musicais,955.2,51.1446522815,2022-07-01T00:00:00.000,Lucas Oliveira,RS,3,cartao_credito,1,-30.17,-53.5
184,Blocos de montar,brinquedos,44.17,2.640696431,2022-07-01T00:00:00.000,João Souza,SP,5,cartao_credito,2,-22.19,-48.79
185,Celular Plus X42,eletronicos,3386.44,177.9021812878,2022-07-01T00:00:00.000,Larissa Alves,SP,4,cartao_credito,8,-22.19,-48.79
186,Xadrez de madeira,brinquedos,31.39,0,2022-07-01T00:00:00.000,João Souza,RS,2,cartao_credito,5,-30.17,-53.5
